gender,birthday,days_watched,mean_score,watching,completed,on_hold,dropped,plan_to_watch,total_entries,rewatched,episodes_watched,score,genres,keywords,type,episodes,aired,premiered,status,producers,studios,source,duration,rating_y,rank,popularity,favorites,scored_by,members,duration_class,episodes_class,rating
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,6.94,,,TV,26.0,,spring,Finished Airing,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2",Bee Train,Original,24.0,PG-13 - Teens 13 or older,4663,1369,1432,86289,189123,standard,long,medium
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.05,,,Movie,1.0,,,Finished Airing,"Mainichi Broadcasting System, TOHO, TYO Animations, TYO, Geneon Entertainment",Digital Frontier,Manga,105.0,R - 17+ (violence & profanity),4190,2663,185,42381,76310,long,short,medium
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,5.85,,,TV,13.0,,fall,Finished Airing,Yomiko Advertising,Bee Train,Original,23.0,R - 17+ (violence & profanity),10783,5346,22,7309,18706,standard,medium,low
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.31,,,TV,23.0,,fall,Finished Airing,"GDH, Dentsu, TBS, Sotsu Music Publishing, Future Vision Music",Gonzo,Manga,24.0,PG-13 - Teens 13 or older,2834,942,1810,131754,277502,standard,medium,medium
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.01,,,TV,26.0,,fall,Finished Airing,"Youmex, Toshiba EMI",AIC,Original,23.0,R+ - Mild Nudity,4408,2481,445,31549,85588,standard,long,high
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.6,,,TV,24.0,,fall,Finished Airing,"Lantis, Kadokawa Shoten, Fuji TV",Gonzo,Manga,23.0,R - 17+ (violence & profanity),1593,1135,1943,106056,232423,standard,long,high
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,6.71,,,TV,26.0,,summer,Finished Airing,"Lantis, King Records","feel., Zexcs",Visual novel,23.0,PG-13 - Teens 13 or older,5907,2625,199,31394,78025,standard,long,low
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.26,,,TV,26.0,,spring,Finished Airing,"Dentsu, TV Tokyo Music",Bones,Manga,24.0,PG-13 - Teens 13 or older,3093,3026,319,29701,60955,standard,long,medium
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.55,,,Movie,1.0,,,Finished Airing,"Fuji TV, Sony Music Entertainment",Gallop,Manga,90.0,R - 17+ (violence & profanity),1786,3218,96,28310,54281,long,short,high
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,8.7,,,OVA,4.0,,,Finished Airing,Aniplex,Studio Deen,Manga,29.0,R - 17+ (violence & profanity),61,913,6368,141643,286017,long,short,unknown
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,8.05,,,TV,26.0,,spring,Finished Airing,"Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records",J.C.Staff,4-koma manga,24.0,PG-13 - Teens 13 or older,597,637,8520,171769,396272,standard,long,low
Female,,212.8,6.68,16,636,303,0,45,1000,10,12781,7.31,,,TV,23.0,,fall,Finished Airing,"GDH, Dentsu, TBS, Sotsu Music Publishing, Future Vision Music",Gonzo,Manga,24.0,PG-13 - Teens 13 or older,2834,942,1810,131754,277502,standard,medium,low
Female,,212.8,6.68,16,636,303,0,45,1000,10,12781,7.6,,,TV,24.0,,fall,Finished Airing,"Lantis, Kadokawa Shoten, Fuji TV",Gonzo,Manga,23.0,R - 17+ (violence & profanity),1593,1135,1943,106056,232423,standard,long,high
,,30.0,7.71,5,54,4,3,0,66,0,1817,7.6,,,TV,24.0,,fall,Finished Airing,"Lantis, Kadokawa Shoten, Fuji TV",Gonzo,Manga,23.0,R - 17+ (violence & profanity),1593,1135,1943,106056,232423,standard,long,high
,1988-02-22,142.5,7.41,20,298,5,19,50,392,0,8565,7.31,,,TV,23.0,,fall,Finished Airing,"GDH, Dentsu, TBS, Sotsu Music Publishing, Future Vision Music",Gonzo,Manga,24.0,PG-13 - Teens 13 or older,2834,942,1810,131754,277502,standard,medium,low
,1988-02-22,142.5,7.41,20,298,5,19,50,392,0,8565,7.4,,,TV,12.0,,fall,Finished Airing,"Mellow Head, Pony Canyon, TBS, Memory-Tech",Nomad,Manga,24.0,PG-13 - Teens 13 or older,2397,1227,2063,99933,212750,standard,medium,low
,1988-02-22,142.5,7.41,20,298,5,19,50,392,0,8565,7.75,,,TV,22.0,,spring,Finished Airing,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC, Rakuonsha, Geneon Entertainment USA",Madhouse,Original,23.0,R+ - Mild Nudity,1184,974,5356,60447,269302,standard,medium,low
Female,1987-06-18,22.7,8.07,8,71,9,6,14,108,0,1346,7.6,,,TV,24.0,,fall,Finished Airing,"Lantis, Kadokawa Shoten, Fuji TV",Gonzo,Manga,23.0,R - 17+ (violence & profanity),1593,1135,1943,106056,232423,standard,long,unknown
Male,,34.5,6.84,15,104,22,3,19,163,1,2054,6.71,,,TV,26.0,,summer,Finished Airing,"Lantis, King Records","feel., Zexcs",Visual novel,23.0,PG-13 - Teens 13 or older,5907,2625,199,31394,78025,standard,long,low
Male,,34.5,6.84,15,104,22,3,19,163,1,2054,8.05,,,TV,26.0,,spring,Finished Airing,"Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records",J.C.Staff,4-koma manga,24.0,PG-13 - Teens 13 or older,597,637,8520,171769,396272,standard,long,high
Male,,34.5,6.84,15,104,22,3,19,163,1,2054,7.4,,,TV,12.0,,fall,Finished Airing,"Mellow Head, Pony Canyon, TBS, Memory-Tech",Nomad,Manga,24.0,PG-13 - Teens 13 or older,2397,1227,2063,99933,212750,standard,medium,low
Male,,34.5,6.84,15,104,22,3,19,163,1,2054,7.55,,,Movie,1.0,,,Finished Airing,"Fuji TV, Sony Music Entertainment",Gallop,Manga,90.0,R - 17+ (violence & profanity),1786,3218,96,28310,54281,long,short,high
Male,,34.5,6.84,15,104,22,3,19,163,1,2054,8.7,,,OVA,4.0,,,Finished Airing,Aniplex,Studio Deen,Manga,29.0,R - 17+ (violence & profanity),61,913,6368,141643,286017,long,short,unknown
Male,,34.5,6.84,15,104,22,3,19,163,1,2054,7.88,,,TV,26.0,,fall,Finished Airing,"TV Tokyo, Sotsu, Marvelous Entertainment, Starchild Records, Media Factory, DAX Production",Studio Comet,Manga,23.0,PG-13 - Teens 13 or older,866,772,5299,152534,337235,standard,long,high
Male,,34.5,6.84,15,104,22,3,19,163,1,2054,8.36,,,TV,26.0,,fall,Finished Airing,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","Gainax, Tatsunoko Production",Original,24.0,PG-13 - Teens 13 or older,231,45,111650,1147758,1919766,standard,long,medium
Male,,34.5,6.84,15,104,22,3,19,163,1,2054,8.56,,,Movie,1.0,,,Finished Airing,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, King Records, Audio Tanaka","Gainax, Production I.G",Original,86.0,R+ - Mild Nudity,116,177,30573,657356,985033,long,short,medium
Male,,34.5,6.84,15,104,22,3,19,163,1,2054,6.94,,,TV,26.0,,spring,Finished Airing,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2",Bee Train,Original,24.0,PG-13 - Teens 13 or older,4663,1369,1432,86289,189123,standard,long,low
Male,,34.5,6.84,15,104,22,3,19,163,1,2054,8.01,,,TV,220.0,,fall,Finished Airing,"TV Tokyo, Aniplex, Shueisha",Pierrot,Manga,23.0,PG-13 - Teens 13 or older,663,9,82913,2054933,2982943,standard,long,high
Female,1987-12-31,197.2,6.28,16,488,35,18,2,559,283,12349,6.94,,,TV,26.0,,spring,Finished Airing,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2",Bee Train,Original,24.0,PG-13 - Teens 13 or older,4663,1369,1432,86289,189123,standard,long,high
Female,1987-12-31,197.2,6.28,16,488,35,18,2,559,283,12349,7.05,,,Movie,1.0,,,Finished Airing,"Mainichi Broadcasting System, TOHO, TYO Animations, TYO, Geneon Entertainment",Digital Frontier,Manga,105.0,R - 17+ (violence & profanity),4190,2663,185,42381,76310,long,short,low
Female,1987-12-31,197.2,6.28,16,488,35,18,2,559,283,12349,5.85,,,TV,13.0,,fall,Finished Airing,Yomiko Advertising,Bee Train,Original,23.0,R - 17+ (violence & profanity),10783,5346,22,7309,18706,standard,medium,low
Female,1987-12-31,197.2,6.28,16,488,35,18,2,559,283,12349,7.6,,,TV,24.0,,fall,Finished Airing,"Lantis, Kadokawa Shoten, Fuji TV",Gonzo,Manga,23.0,R - 17+ (violence & profanity),1593,1135,1943,106056,232423,standard,long,high
Female,1987-12-31,197.2,6.28,16,488,35,18,2,559,283,12349,8.01,,,TV,220.0,,fall,Finished Airing,"TV Tokyo, Aniplex, Shueisha",Pierrot,Manga,23.0,PG-13 - Teens 13 or older,663,9,82913,2054933,2982943,standard,long,low
Female,1987-12-31,197.2,6.28,16,488,35,18,2,559,283,12349,7.4,,,TV,12.0,,fall,Finished Airing,"Mellow Head, Pony Canyon, TBS, Memory-Tech",Nomad,Manga,24.0,PG-13 - Teens 13 or older,2397,1227,2063,99933,212750,standard,medium,medium
Female,1987-12-31,197.2,6.28,16,488,35,18,2,559,283,12349,7.55,,,Movie,1.0,,,Finished Airing,"Fuji TV, Sony Music Entertainment",Gallop,Manga,90.0,R - 17+ (violence & profanity),1786,3218,96,28310,54281,long,short,low
