gender,birthday,days_watched,mean_score,watching,completed,on_hold,dropped,plan_to_watch,total_entries,rewatched,episodes_watched,score,genres,keywords,type,episodes,aired,premiered,status,producers,studios,source,duration,rating_y,rank,popularity,favorites,scored_by,members,duration_class,episodes_class,rating
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.28,,,OVA,5.0,,,Finished Airing,,,,30.0,,2970,3142,259,27828,56581,long,short,high
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.1,,,TV,24.0,,,Finished Airing,,,,23.0,,3959,2054,472,55020,114544,standard,long,medium
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,8.16,,,Movie,1.0,,,Finished Airing,,,,124.0,,454,208,14401,539355,910855,long,short,low
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,6.49,,,TV,26.0,,,Finished Airing,,,,22.0,,7177,5470,14,6445,17529,standard,long,low
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,8.29,,,TV,26.0,,,Finished Airing,,,,25.0,,298,716,8823,146093,359083,long,long,high
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.31,,,TV,23.0,,,Finished Airing,,,,24.0,,2834,942,1810,131754,277502,standard,medium,medium
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.01,,,TV,26.0,,,Finished Airing,,,,23.0,,4408,2481,445,31549,85588,standard,long,high
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.6,,,TV,24.0,,,Finished Airing,,,,23.0,,1593,1135,1943,106056,232423,standard,long,high
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,8.75,,,TV,26.0,,,Finished Airing,,,,24.0,,48,42,86189,1013780,1963589,standard,long,unknown
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,8.38,,,Movie,1.0,,,Finished Airing,,,,115.0,,210,638,1693,224353,396100,long,short,high
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,6.71,,,TV,26.0,,,Finished Airing,,,,23.0,,5907,2625,199,31394,78025,standard,long,low
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.59,,,TV,24.0,,,Finished Airing,,,,24.0,,1640,466,4419,246955,514078,standard,long,high
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.91,,,TV,13.0,,,Finished Airing,,,,24.0,,818,981,1299,151440,267888,standard,medium,unknown
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.98,,,TV,24.0,,,Finished Airing,,,,23.0,,700,943,4171,85522,277257,standard,long,high
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,8.17,,,TV,24.0,,,Finished Airing,,,,27.0,,444,1276,1389,113204,202660,long,long,high
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.74,,,TV,50.0,,,Finished Airing,,,,24.0,,1208,1429,3677,99438,178914,standard,long,high
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,8.27,,,Movie,1.0,,,Finished Airing,,,,82.0,,321,340,13616,346480,670475,long,short,high
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.78,,,TV,26.0,,,Finished Airing,,,,24.0,,1104,1418,1891,72779,181069,standard,long,high
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,8.01,,,TV,220.0,,,Finished Airing,,,,23.0,,663,9,82913,2054933,2982943,standard,long,medium
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,8.28,,,TV,94.0,,,Finished Airing,,,,25.0,,308,467,10254,243398,512471,long,long,high
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.88,,,TV,26.0,,,Finished Airing,,,,23.0,,866,772,5299,152534,337235,standard,long,high
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,8.36,,,TV,26.0,,,Finished Airing,,,,24.0,,231,45,111650,1147758,1919766,standard,long,unknown
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,8.56,,,Movie,1.0,,,Finished Airing,,,,86.0,,116,177,30573,657356,985033,long,short,high
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,6.24,,,OVA,3.0,,,Finished Airing,,,,29.0,,8674,3328,187,27559,51190,long,short,medium
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.24,,,TV,26.0,,,Finished Airing,,,,25.0,,3211,1939,670,45182,122577,long,long,high
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,7.85,,,TV,178.0,,,Finished Airing,,,,22.0,,937,1348,3045,86870,191848,standard,long,medium
Male,1985-03-04,142.3,7.37,1,233,8,93,64,399,60,8481,8.05,,,TV,26.0,,,Finished Airing,,,,24.0,,597,637,8520,171769,396272,standard,long,low
Female,,212.8,6.68,16,636,303,0,45,1000,10,12781,7.28,,,OVA,5.0,,,Finished Airing,,,,30.0,,2970,3142,259,27828,56581,long,short,low
Female,,212.8,6.68,16,636,303,0,45,1000,10,12781,8.16,,,Movie,1.0,,,Finished Airing,,,,124.0,,454,208,14401,539355,910855,long,short,unknown
Female,,212.8,6.68,16,636,303,0,45,1000,10,12781,7.31,,,TV,23.0,,,Finished Airing,,,,24.0,,2834,942,1810,131754,277502,standard,medium,low
Female,,212.8,6.68,16,636,303,0,45,1000,10,12781,7.6,,,TV,24.0,,,Finished Airing,,,,23.0,,1593,1135,1943,106056,232423,standard,long,high
Female,,212.8,6.68,16,636,303,0,45,1000,10,12781,8.75,,,TV,26.0,,,Finished Airing,,,,24.0,,48,42,86189,1013780,1963589,standard,long,high
Female,,212.8,6.68,16,636,303,0,45,1000,10,12781,8.38,,,Movie,1.0,,,Finished Airing,,,,115.0,,210,638,1693,224353,396100,long,short,high
Female,,212.8,6.68,16,636,303,0,45,1000,10,12781,7.59,,,TV,24.0,,,Finished Airing,,,,24.0,,1640,466,4419,246955,514078,standard,long,high
,,30.0,7.71,5,54,4,3,0,66,0,1817,7.6,,,TV,24.0,,,Finished Airing,,,,23.0,,1593,1135,1943,106056,232423,standard,long,high
,,30.0,7.71,5,54,4,3,0,66,0,1817,7.27,,,TV,26.0,,,Finished Airing,,,,23.0,,3035,3249,312,26021,53110,standard,long,high
,,30.0,7.71,5,54,4,3,0,66,0,1817,8.01,,,TV,220.0,,,Finished Airing,,,,23.0,,663,9,82913,2054933,2982943,standard,long,high
,,30.0,7.71,5,54,4,3,0,66,0,1817,7.28,,,OVA,5.0,,,Finished Airing,,,,30.0,,2970,3142,259,27828,56581,long,short,high
,,30.0,7.71,5,54,4,3,0,66,0,1817,7.1,,,TV,24.0,,,Finished Airing,,,,23.0,,3959,2054,472,55020,114544,standard,long,high
,,30.0,7.71,5,54,4,3,0,66,0,1817,7.91,,,TV,13.0,,,Finished Airing,,,,24.0,,818,981,1299,151440,267888,standard,medium,high
,,30.0,7.71,5,54,4,3,0,66,0,1817,7.74,,,TV,50.0,,,Finished Airing,,,,24.0,,1208,1429,3677,99438,178914,standard,long,unknown
,,30.0,7.71,5,54,4,3,0,66,0,1817,8.28,,,TV,94.0,,,Finished Airing,,,,25.0,,308,467,10254,243398,512471,long,long,high
,,30.0,7.71,5,54,4,3,0,66,0,1817,7.88,,,TV,26.0,,,Finished Airing,,,,23.0,,866,772,5299,152534,337235,standard,long,high
,,30.0,7.71,5,54,4,3,0,66,0,1817,8.36,,,TV,26.0,,,Finished Airing,,,,24.0,,231,45,111650,1147758,1919766,standard,long,low
,,30.0,7.71,5,54,4,3,0,66,0,1817,6.24,,,OVA,3.0,,,Finished Airing,,,,29.0,,8674,3328,187,27559,51190,long,short,low
,,30.0,7.71,5,54,4,3,0,66,0,1817,7.85,,,TV,178.0,,,Finished Airing,,,,22.0,,937,1348,3045,86870,191848,standard,long,low
Male,1988-01-25,73.1,8.06,11,94,11,2,20,138,7,4374,8.75,,,TV,26.0,,,Finished Airing,,,,24.0,,48,42,86189,1013780,1963589,standard,long,high
Male,1988-01-25,73.1,8.06,11,94,11,2,20,138,7,4374,8.38,,,Movie,1.0,,,Finished Airing,,,,115.0,,210,638,1693,224353,396100,long,short,high
Male,1988-01-25,73.1,8.06,11,94,11,2,20,138,7,4374,7.59,,,TV,24.0,,,Finished Airing,,,,24.0,,1640,466,4419,246955,514078,standard,long,medium
Male,1988-01-25,73.1,8.06,11,94,11,2,20,138,7,4374,8.27,,,Movie,1.0,,,Finished Airing,,,,82.0,,321,340,13616,346480,670475,long,short,medium
Male,1988-01-25,73.1,8.06,11,94,11,2,20,138,7,4374,7.78,,,TV,26.0,,,Finished Airing,,,,24.0,,1104,1418,1891,72779,181069,standard,long,high
Male,1988-01-25,73.1,8.06,11,94,11,2,20,138,7,4374,8.01,,,TV,220.0,,,Finished Airing,,,,23.0,,663,9,82913,2054933,2982943,standard,long,low
Male,1988-01-25,73.1,8.06,11,94,11,2,20,138,7,4374,8.28,,,TV,94.0,,,Finished Airing,,,,25.0,,308,467,10254,243398,512471,long,long,high
Male,1988-01-25,73.1,8.06,11,94,11,2,20,138,7,4374,7.85,,,TV,178.0,,,Finished Airing,,,,22.0,,937,1348,3045,86870,191848,standard,long,high
,1988-02-22,142.5,7.41,20,298,5,19,50,392,0,8565,8.29,,,TV,26.0,,,Finished Airing,,,,25.0,,298,716,8823,146093,359083,long,long,low
,1988-02-22,142.5,7.41,20,298,5,19,50,392,0,8565,7.31,,,TV,23.0,,,Finished Airing,,,,24.0,,2834,942,1810,131754,277502,standard,medium,low
,1988-02-22,142.5,7.41,20,298,5,19,50,392,0,8565,8.75,,,TV,26.0,,,Finished Airing,,,,24.0,,48,42,86189,1013780,1963589,standard,long,high
,1988-02-22,142.5,7.41,20,298,5,19,50,392,0,8565,8.38,,,Movie,1.0,,,Finished Airing,,,,115.0,,210,638,1693,224353,396100,long,short,high
,1988-02-22,142.5,7.41,20,298,5,19,50,392,0,8565,7.91,,,TV,13.0,,,Finished Airing,,,,24.0,,818,981,1299,151440,267888,standard,medium,low
,1988-02-22,142.5,7.41,20,298,5,19,50,392,0,8565,8.17,,,TV,24.0,,,Finished Airing,,,,27.0,,444,1276,1389,113204,202660,long,long,medium
,1988-02-22,142.5,7.41,20,298,5,19,50,392,0,8565,7.74,,,TV,50.0,,,Finished Airing,,,,24.0,,1208,1429,3677,99438,178914,standard,long,low
,1988-02-22,142.5,7.41,20,298,5,19,50,392,0,8565,8.27,,,Movie,1.0,,,Finished Airing,,,,82.0,,321,340,13616,346480,670475,long,short,high
,1988-02-22,142.5,7.41,20,298,5,19,50,392,0,8565,7.78,,,TV,26.0,,,Finished Airing,,,,24.0,,1104,1418,1891,72779,181069,standard,long,medium
,1988-02-22,142.5,7.41,20,298,5,19,50,392,0,8565,8.01,,,TV,220.0,,,Finished Airing,,,,23.0,,663,9,82913,2054933,2982943,standard,long,medium
,1988-02-22,142.5,7.41,20,298,5,19,50,392,0,8565,7.4,,,TV,12.0,,,Finished Airing,,,,24.0,,2397,1227,2063,99933,212750,standard,medium,low
,1988-02-22,142.5,7.41,20,298,5,19,50,392,0,8565,8.36,,,TV,26.0,,,Finished Airing,,,,24.0,,231,45,111650,1147758,1919766,standard,long,low
,1988-02-22,142.5,7.41,20,298,5,19,50,392,0,8565,7.85,,,TV,178.0,,,Finished Airing,,,,22.0,,937,1348,3045,86870,191848,standard,long,high
,1988-02-22,142.5,7.41,20,298,5,19,50,392,0,8565,7.75,,,TV,22.0,,,Finished Airing,,,,23.0,,1184,974,5356,60447,269302,standard,medium,low
